Density,variable,value
0.078,Glaucoma,0.6770692863179769
0.08,Glaucoma,0.6974131578464065
0.082,Glaucoma,0.7187330112249011
0.084,Glaucoma,0.7406530356732682
0.086,Glaucoma,0.762692084783999
0.088,Glaucoma,0.7843106703119224
0.09,Glaucoma,0.8049671130211169
0.092,Glaucoma,0.824170686207306
0.094,Glaucoma,0.8415220145974923
0.096,Glaucoma,0.8567356586627664
0.098,Glaucoma,0.8696451113986822
0.1,Glaucoma,0.8801947827967287
0.102,Glaucoma,0.8884258436132755
0.104,Glaucoma,0.8944626481326069
0.106,Glaucoma,0.8985041676783956
0.108,Glaucoma,0.9008212849721419
0.11,Glaucoma,0.9017570367538543
0.112,Glaucoma,0.901724059834429
0.114,Glaucoma,0.9011924742287855
0.116,Glaucoma,0.9006626944143008
0.118,Glaucoma,0.9006211240150201
0.12,Glaucoma,0.9014817012152615
0.122,Glaucoma,0.9035216408769284
0.124,Glaucoma,0.9068239795522838
0.126,Glaucoma,0.9112412381964224
0.128,Glaucoma,0.9163927252935604
0.13,Glaucoma,0.9217026089288538
0.132,Glaucoma,0.9264778064641136
0.134,Glaucoma,0.9300157687482478
0.136,Glaucoma,0.9317246105707964
0.138,Glaucoma,0.9312338212956472
0.14,Glaucoma,0.9284742542292469
0.142,Glaucoma,0.9237113303663994
0.144,Glaucoma,0.9175242587348862
0.146,Glaucoma,0.9107345053684116
0.148,Glaucoma,0.9042963189698138
0.15,Glaucoma,0.8991687211392799
0.152,Glaucoma,0.8961906977550712
0.154,Glaucoma,0.8959791934155062
0.156,Glaucoma,0.8988637864653957
0.158,Glaucoma,0.9048642337476905
0.16,Glaucoma,0.9137093149071377
0.162,Glaucoma,0.9248892232920136
0.164,Glaucoma,0.9377301461442146
0.166,Glaucoma,0.951478828535543
0.168,Glaucoma,0.9653862531460718
0.17,Glaucoma,0.9787820723316046
0.172,Glaucoma,0.99113404051726
0.174,Glaucoma,1.0020886985124782
0.176,Glaucoma,1.0114908008577337
0.178,Glaucoma,1.0193798423891947
0.18,Glaucoma,1.0259632172621285
0.182,Glaucoma,1.031567635803413
0.184,Glaucoma,1.0365735864375236
0.186,Glaucoma,1.0413413684102149
0.188,Glaucoma,1.0461404634395342
0.19,Glaucoma,1.0510954438922513
0.192,Glaucoma,1.056160171470304
0.194,Glaucoma,1.0611274007250182
0.196,Glaucoma,1.0656737504948652
0.198,Glaucoma,1.0694319630715619
0.2,Glaucoma,1.0720755621770113
0.202,Glaucoma,1.0733974332374356
0.204,Glaucoma,1.07336467261193
0.206,Glaucoma,1.0721372594778094
0.208,Glaucoma,1.070046418729767
0.21,Glaucoma,1.0675378118909244
0.212,Glaucoma,1.06509253046847
0.214,Glaucoma,1.0631433549683964
0.216,Glaucoma,1.06200394230451
0.218,Glaucoma,1.0618247451735778
0.22,Glaucoma,1.0625827783816713
0.222,Glaucoma,1.0641046383498374
0.224,Glaucoma,1.0661153203130758
0.226,Glaucoma,1.0683008234442999
0.228,Glaucoma,1.0703710479761497
0.23,Glaucoma,1.0721110364099062
0.232,Glaucoma,1.073412471480119
0.234,Glaucoma,1.0742823519882378
0.236,Glaucoma,1.0748306464419992
0.238,Glaucoma,1.0752424051069143
0.24,Glaucoma,1.0757416815222283
0.242,Glaucoma,1.0765546142126854
0.244,Glaucoma,1.0778775640876854
0.246,Glaucoma,1.0798539780769982
0.248,Glaucoma,1.0825613486371368
0.25,Glaucoma,1.0860077641282637
0.252,Glaucoma,1.090136321306108
0.254,Glaucoma,1.0948350989915074
0.256,Glaucoma,1.099950357552165
0.258,Glaucoma,1.1053010066695248
0.26,Glaucoma,1.1106930614057564
0.262,Glaucoma,1.1159336403127016
0.264,Glaucoma,1.1208448207560746
0.266,Glaucoma,1.1252780512102911
0.268,Glaucoma,1.1291295522960536
0.27,Glaucoma,1.1323561356027267
0.272,Glaucoma,1.1349893736049217
0.274,Glaucoma,1.1371446286046611
0.276,Glaucoma,1.139020802765094
0.278,Glaucoma,1.140887364924804
0.28,Glaucoma,1.1430573702756723
0.282,Glaucoma,1.145848376172444
0.284,Glaucoma,1.1495364745332948
0.286,Glaucoma,1.15431106117899
0.288,Glaucoma,1.1602386424343616
0.29,Glaucoma,1.1672426766331612
0.292,Glaucoma,1.1751035211828924
0.294,Glaucoma,1.183478825095692
0.296,Glaucoma,1.1919411356316825
0.298,Glaucoma,1.2000268563128487
0.3,Glaucoma,1.2072893953800077
0.302,Glaucoma,1.2133493589958646
0.304,Glaucoma,1.2179356732671247
0.306,Glaucoma,1.2209131696708735
0.308,Glaucoma,1.2222941058382535
0.31,Glaucoma,1.2222330976453613
0.312,Glaucoma,1.2210068668735834
0.314,Glaucoma,1.2189819257634507
0.316,Glaucoma,1.2165746425935304
0.318,Glaucoma,1.2142088493474994
0.32,Glaucoma,1.2122760865581783
0.322,Glaucoma,1.2111026915079117
0.324,Glaucoma,1.210926376351295
0.326,Glaucoma,1.211883063216095
0.328,Glaucoma,1.2140030144201248
0.33,Glaucoma,1.217214178431951
0.332,Glaucoma,1.2213504682268383
0.334,Glaucoma,1.226163419509689
0.336,Glaucoma,1.2313370340181138
0.338,Glaucoma,1.2365070077167464
0.34,Glaucoma,1.2412862701259169
0.342,Glaucoma,1.2452982362777423
0.344,Glaucoma,1.248217196370001
0.346,Glaucoma,1.2498121909885238
0.348,Glaucoma,1.2499874452814792
0.35,Glaucoma,1.2488101982623099
0.352,Glaucoma,1.2465167328045135
0.354,Glaucoma,1.243490234555451
0.356,Glaucoma,1.2402095629907006
0.358,Glaucoma,1.2371749407159434
0.36,Glaucoma,1.2348231025779255
0.362,Glaucoma,1.2334485901225338
0.364,Glaucoma,1.2331481272162916
0.366,Glaucoma,1.2338009151023632
0.368,Glaucoma,1.2350900563540008
0.37,Glaucoma,1.236561067107776
0.372,Glaucoma,1.2377050110105399
0.374,Glaucoma,1.2380484332575177
0.376,Glaucoma,1.237231355686674
0.378,Glaucoma,1.2350582100704284
0.38,Glaucoma,1.2315135816057179
0.382,Glaucoma,1.2267430053990884
0.384,Glaucoma,1.2210065919468267
0.386,Glaucoma,1.2146181716679059
0.388,Glaucoma,1.2078840489035094
0.39,Glaucoma,1.2010534724397726
0.392,Glaucoma,1.1942885479906789
0.394,Glaucoma,1.1876559869745267
0.396,Glaucoma,1.1811382533825452
0.398,Glaucoma,1.1746583858560475
0.4,Glaucoma,1.1681114635539094
0.402,Glaucoma,1.1613961484780018
0.404,Glaucoma,1.1544413256701298
0.406,Glaucoma,1.1472247874660568
0.408,Glaucoma,1.139782550080888
0.41,Glaucoma,1.1322085006548113
0.412,Glaucoma,1.1246447877209376
0.414,Glaucoma,1.117264040693768
0.416,Glaucoma,1.110245436808439
0.418,Glaucoma,1.1037478417708229
0.42,Glaucoma,1.0978843888076453
0.422,Glaucoma,1.0927033566119786
0.424,Glaucoma,1.0881795477955285
0.426,Glaucoma,1.084218401353118
0.428,Glaucoma,1.0806721622242093
0.43,Glaucoma,1.0773643952694631
0.432,Glaucoma,1.0741169548345635
0.434,Glaucoma,1.0707729815276366
0.436,Glaucoma,1.0672108509239289
0.438,Glaucoma,1.0633468658285452
0.44,Glaucoma,1.059127971447605
0.442,Glaucoma,1.0545187811343626
0.444,Glaucoma,1.049488789405825
0.446,Glaucoma,1.0440053389250235
0.448,Glaucoma,1.0380358178023936
0.45,Glaucoma,1.0315593530919578
0.452,Glaucoma,1.0245849272135141
0.454,Glaucoma,1.0171703956548672
0.456,Glaucoma,1.0094360789043186
0.458,Glaucoma,1.0015677052912038
0.46,Glaucoma,0.9938061970559419
0.462,Glaucoma,0.9864253424064331
0.464,Glaucoma,0.9797017467157024
0.466,Glaucoma,0.973883621440444
0.468,Glaucoma,0.9691653080274021
0.47,Glaucoma,0.9656728399637019
0.472,Glaucoma,0.9634627785576041
0.474,Glaucoma,0.9625328970460062
0.476,Glaucoma,0.9628400758194845
0.478,Glaucoma,0.9643189196148403
0.48,Glaucoma,0.9668946545778393
0.482,Glaucoma,0.9704858400589947
0.484,Glaucoma,0.9749958483482597
0.486,Glaucoma,0.9802960145584084
0.488,Glaucoma,0.9862067080184006
0.49,Glaucoma,0.9924842543362286
0.492,Glaucoma,0.9988209477586723
0.494,Glaucoma,1.0048622927699826
0.496,Glaucoma,1.0102408291742233
0.498,Glaucoma,1.0146207959150462
0.5,Glaucoma,1.0177440930824162
0.502,Glaucoma,1.019466820814068
0.504,Glaucoma,1.01977761010121
0.506,Glaucoma,1.0187934780166363
