Density,variable,value
212.16,Healthy,0.0019159145860246187
212.67,Healthy,0.001906167857936865
213.18,Healthy,0.0018966528267393315
213.69,Healthy,0.0018873947095651774
214.2,Healthy,0.001878418355872612
214.71,Healthy,0.0018697365037432024
215.22,Healthy,0.0018613410867507182
215.73,Healthy,0.0018531988109017738
216.24,Healthy,0.0018452512262533084
216.75,Healthy,0.0018374185964660577
217.26,Healthy,0.0018296062600287539
217.77,Healthy,0.001821711996459818
218.28,Healthy,0.001813633121359687
218.79,Healthy,0.001805272480722434
219.3,Healthy,0.0017965429976016319
219.81,Healthy,0.0017873707839093104
220.32,Healthy,0.0017776969972351155
220.83,Healthy,0.001767478630377397
221.34,Healthy,0.0017566883646137554
221.85,Healthy,0.0017453135996336137
222.36,Healthy,0.0017333548458993526
222.87,Healthy,0.0017208238126901992
223.38,Healthy,0.0017077416656564037
223.89,Healthy,0.001694137960785129
224.4,Healthy,0.0016800506161017558
224.91,Healthy,0.0016655269556172185
225.42,Healthy,0.001650625431544928
225.93,Healthy,0.0016354172414177477
226.44,Healthy,0.0016199868566368748
226.95,Healthy,0.0016044305790112161
227.46,Healthy,0.001588852654071784
227.97,Healthy,0.0015733591047549112
228.48,Healthy,0.0015580501219324514
228.99,Healthy,0.0015430123465064048
229.5,Healthy,0.0015283125248091078
230.01,Healthy,0.0015139937460741518
230.52,Healthy,0.001500074845858719
231.03,Healthy,0.00148655277314004
231.54,Healthy,0.0014734070217339765
232.05,Healthy,0.0014606048412074486
232.56,Healthy,0.0014481059817821528
233.07,Healthy,0.001435866156373176
233.58,Healthy,0.0014238390507610936
234.09,Healthy,0.0014119773459112576
234.6,Healthy,0.0014002336199617266
235.11,Healthy,0.0013885620612492607
235.62,Healthy,0.0013769216623871878
236.13,Healthy,0.0013652811107663701
236.64,Healthy,0.0013536251171256954
237.15,Healthy,0.0013419615931093102
237.66,Healthy,0.001330328988771246
238.17,Healthy,0.0013188032423163526
238.68,Healthy,0.0013075041254562037
239.19,Healthy,0.001296601213859461
239.7,Healthy,0.0012863202049852988
240.21,Healthy,0.0012769507927433339
240.72,Healthy,0.0012688577387902566
241.23,Healthy,0.0012624970847401266
241.74,Healthy,0.00125843951887301
242.25,Healthy,0.0012574025969533382
242.76,Healthy,0.001260292644570141
243.27,Healthy,0.0012682555658465194
243.78,Healthy,0.0012827333112096191
244.29,Healthy,0.001305519349584951
244.8,Healthy,0.0013388022099409301
245.31,Healthy,0.0013851812831103755
245.82,Healthy,0.0014476342272269939
246.33,Healthy,0.0015294116065927687
246.84,Healthy,0.0016338334981901772
247.35,Healthy,0.0017639669212771753
247.86,Healthy,0.0019221744283369976
248.37,Healthy,0.0021095447878295595
248.88,Healthy,0.002325246427917746
249.39,Healthy,0.0025658803198320094
249.9,Healthy,0.0028249446315547237
250.41,Healthy,0.00309254858733943
250.92,Healthy,0.003355515505756361
251.43,Healthy,0.0035979845183274914
251.94,Healthy,0.003802552560449785
252.45,Healthy,0.003951898508077552
252.96,Healthy,0.0040307172687859315
253.47,Healthy,0.004027690388923472
253.98,Healthy,0.003937161733396222
254.49,Healthy,0.0037601962502049778
0.0,Glaucoma,0.0076131434200052495
0.51,Glaucoma,0.008389895278124192
1.02,Glaucoma,0.009114410101971209
1.53,Glaucoma,0.009771576918162897
2.04,Glaucoma,0.010350868987417631
2.55,Glaucoma,0.010846625767203334
3.06,Glaucoma,0.011257772310492948
3.57,Glaucoma,0.01158707164033048
4.08,Glaucoma,0.011840072310441466
4.59,Glaucoma,0.01202394520060332
5.1,Glaucoma,0.01214639704565157
5.61,Glaucoma,0.012214808337423522
6.12,Glaucoma,0.012235681618479956
6.63,Glaucoma,0.012214417722217943
7.14,Glaucoma,0.01215537656776808
7.65,Glaucoma,0.012062136520615344
8.16,Glaucoma,0.011937847457490896
8.67,Glaucoma,0.011785577143234685
9.18,Glaucoma,0.01160857332370607
9.69,Glaucoma,0.011410397186904916
10.2,Glaucoma,0.011194919099464816
10.71,Glaucoma,0.010966197566365158
11.22,Glaucoma,0.010728282404869467
11.73,Glaucoma,0.010484991389813927
12.24,Glaucoma,0.010239706874956062
12.75,Glaucoma,0.00999522793455096
13.26,Glaucoma,0.009753698046872627
13.77,Glaucoma,0.009516612031992368
14.28,Glaucoma,0.009284891871988006
14.79,Glaucoma,0.00905901119329646
15.3,Glaucoma,0.00883914336110489
15.81,Glaucoma,0.008625308163014158
16.32,Glaucoma,0.008417495993798693
16.83,Glaucoma,0.008215755022407192
17.34,Glaucoma,0.00802023459743332
17.85,Glaucoma,0.007831185832950168
18.36,Glaucoma,0.007648926839495137
18.87,Glaucoma,0.0074737846428357705
19.38,Glaucoma,0.0073060280479839024
19.89,Glaucoma,0.007145805434862063
20.4,Glaucoma,0.00699309901705744
20.91,Glaucoma,0.0068477029984469135
21.42,Glaucoma,0.006709228148703868
21.93,Glaucoma,0.006577130503770289
22.44,Glaucoma,0.006450758021129561
22.95,Glaucoma,0.006329406729345516
23.46,Glaucoma,0.0062123774539504795
23.97,Glaucoma,0.006099025481428521
24.48,Glaucoma,0.005988798044242996
24.99,Glaucoma,0.005881257576192608
25.5,Glaucoma,0.005776091573482782
26.01,Glaucoma,0.005673111961881156
26.52,Glaucoma,0.005572247821808228
27.03,Glaucoma,0.005473535086467932
27.54,Glaucoma,0.005377105731594318
28.05,Glaucoma,0.00528317741641017
28.56,Glaucoma,0.005192043070254771
29.07,Glaucoma,0.005104058931762107
29.58,Glaucoma,0.005019629302358906
30.09,Glaucoma,0.004939186790509857
30.6,Glaucoma,0.004863167919326409
31.11,Glaucoma,0.004791985334307032
31.62,Glaucoma,0.004725999121164619
32.13,Glaucoma,0.004665490591530979
32.64,Glaucoma,0.004610642110223513
33.15,Glaucoma,0.004561526049066029
33.66,Glaucoma,0.004518104841211748
34.17,Glaucoma,0.004480242580432561
